ID,Title,Author,ISBN,Genre,Language,Publisher,Publication Year,Shelf,Status,Tags,Notes,Rating,Cover Image,Description
BK000011,Stories of the True,Jeyamohan,9780374619459,Short Stories,English,"Farrar, Straus & Giroux Inc",2025,,Available,,,,,"The tales in Stories of the True live in the shadowland between truth and fiction, blending real life with the prismatic effect of Jeyamohan’s volatile and incisive prose. The result is a collection that shimmers with life and wisdom and a truth greater than truth all on its own."
BK000012,The Abyss,Jeyamohan,,Novel,English,Juggernaut,9789393986528,,Available,,,,,"Raw, tender, and darkly comic, The Abyss is widely considered a masterpiece from Jeyamohan, a writer whose body of work has shaped modern Tamil literature."
BK000013,மானுடம் வெல்லும்,பிரபஞ்சன்,,நாவல்,Tamil,,,,Available,,,,,"'மானுடம் வெல்லும்' எனும் இந்நாவல் தமிழ் நாவல் வரலாற்றில் பல வகைகளில் தொடக்கமாகவும் முதலாகவும் வைத்து எண்ணும் சிறப்பம்சங்களைக் கொண்டது. பிரெஞ்ச் ஆதிக்கத்தின் கீழ் சுமார் முந்நூறு ஆண்டுகள் இருந்த இன்றைய புதுச்சேரி மாநிலத்தின் மற்றும் தென்னார்க்காடு மாவட்டத்தின் தமிழ் வாழ்க்கையையும் பிரெஞ்சுக்காரர்கள் மூலம் தமிழர் கற்றுக்கொண்ட பிரெஞ்ச் - தமிழ் வாழ்க்கையையும் கலை நேர்த்தியுடன் படைத்தளிக்கிறது இந்நாவல். அக்காலத்திய பிரெஞ்ச்-தமிழர் மொழி, வாழ்க்கை, பண்பாடு முதலான பல வகைகளிலும் கவனம் கொண்டு எழுதப்பட்டது இந்நாவல்.\nஅரசர்களின் வாழ்க்கையை எழுதுவதே வரலாற்று நாவல் என்ற போக்கை முற்றிலுமாக மாற்றியமைத்து சாதாரண குடிமக்கள், விவசாயிகள், வியாபாரிகள், சிறிய வணிகர்கள், அரசு அதிகாரிகள், கவர்னர்கள் மற்றும் தாசிகள் என்று அனைத்து மக்களையும் தழுவிய மக்கள் வரலாற்று நாவல் என்று விமர்சகர்கள் இந்நாவலைக் குறிப்பிடுகிறார்கள்."
BK000014,கடவுள் தொடங்கிய இடம்,அ.முத்துலிங்கம்,,நாவல்,Tamil,காலச்சுவடு பதிப்பகம்,2023,,Available,,,,,"தமிழ் நாவல் ஒன்று உலகத் தரத்தோடு வந்திருக்கிறது. உலகத் தரம் என்று இங்கே குறிப்பிடுவது இதில் கையாளப்பட்டிருக்கும் உலகம் தழுவிய பிரச்னைகளாலும்தான். இலங்கையின் தமிழ் இளைஞன் ஒருவன் கனடாவில் தஞ்சம் அடையக் கிளம்புகிறான். தமிழர்கள் அகதிகளாக இன்று உலகின் பல நாடுகளில் தஞ்சம் அடைந்திருக்கிறார்கள் என்பது நமக்கெல்லாம் தெரியும். தஞ்சம் அடையும் அந்தப் பயணம் எப்படி நிகழ்கிறது என்பதை உணர்ச்சிகரமாக விவரிக்கிறது இந்த நாவல். இலங்கையில் இருந்து புறப்பட்ட 19 வயது நிஷாந், உயிரைக் காக்கும் பயணத்தில் உயிரையே பணயம் வைக்கும் தருணங்கள் பதற வைக்கின்றன. பாகிஸ்தான், உக்ரைன், ரஷ்யா, துருக்கி, ஜெர்மன், பிரான்ஸ், லண்டன், ஈகுவடார், கனடா என எத்தனை நாடுகளைக் கடக்க வேண்டியிருக்கிறது. எத்தனை கெடுபிடி, எத்தனை போலீஸ், எத்தனை காயம், எத்தனை குளிர்... குடியுரிமை வாங்கி ஒரு நாட்டில் தம்மை ஒப்புக்குக் கொடுக்கிற வரை காலூன்ற இடமில்லாமல் தேசம்விட்டு தேசம் ஊசலாடும் இந்த மனிதப் பறவைகளின் அவலம் ஒவ்வொரு வரியிலும் உரக்கச் சொல்லப்பட்டிருக்கிறது. உயிரைப் பிழைக்க வைக்க மனிதர் எந்த அறத்தையும் மீற வேண்டியிருக்கிறது என்பதுதான் நாவலின் உயிர் நாடி. எழுத்தாளர் முத்துலிங்கம் அபாரமான எழுத்தாற்றல் மிக்கவர். ஒவ்வொரு வாக்கியத்தையும் தங்க நகை போல அலங்கரிக்கும் வித்தைக்காரர். படியுங்கள்... விறுவிறு அனுபவம் காத்திருக்கிறது. கடவுள் தொடங்கிய இடத்தைக் கண்டடையுங்கள்."
BK000015,வானம் வசப்படும்,பிரபஞ்சன்,,நாவல்,Tamil,,,,Available,,,,,"ஆறாயிரம் மைல்களைக் கடந்து இங்கு வந்து சேர்ந்த ஐரோப்பியனுக்கும், இந்த மண்ணிலே பிறந்த தமிழனுக்கும் அல்லது இன்னொரு இனத்தானுக்கும் மனித சுபாவம் எப்படியெல்லாம் செயல்பட்டிருக்கிறது என்று உடைத்துப் பார்ப்பது எனக்கு சுவாரஸ்யம் தருகிறது. அதிலும் இரண்டு நூற்றாண்டுக்கு முந்தைய மனிதர்கள் எப்படிச் சிந்தித்தார்கள், செயல்பட்டார்கள், அவர்களின் மனித சுபாவம் எப்படிச் சுழித்துக்கொண்டது என்று பார்ப்பது கூடுதல் சுவாரஸ்யமாக எனக்கு இருந்தது. நடந்ததைத் திரும்பிப் பார்ப்பது மட்டும் வரலாறு அல்லவே. நடந்த நிகழ்ச்சிகளை இயக்கிய மனிதர்கள் என் காலத்து மனிதர்களிடமும் பேசுவதற்கு நிறைய வைத்திருக்கிறார்கள். அவர்களின் மொழி எனக்குக் கைவந்திருக்கிறது. ஆகவே இந்தத் தலைமுறைக்கு அதைச் சொல்ல எனக்கு ஏற்பட்ட விருப்பமே இந்தக் கதையாயிற்று. - பிரபஞ்சன்"
BK000016,ஹே ராம் (திரைக்கதை),கமலஹாசன்,,திரைக்கதை,Tamil,,,,Available,,,,,"The book version of the Tamil movie Script Hey Ram"
BK000017,Heidi,Johanna Spyri,,Novel,English,,,,Available,,,,,"Little orphan Heidi goes to live high in the Alps with her gruff grandfather and brings happiness to all who know her on the mountain. When Heidi goes to Frankfurt to work in a wealthy household, she dreams of returning to the mountains and meadows, her friend Peter, and her beloved grandfather."
BK000018,நீலகண்டம்,சுனில் கிருஷ்ணன்,9789388133463,நாவல்,Tamil,யாவரும் பதிப்பகம்,2019,,Available,,,,,"நவீன வாழ்வின் பெரும் சிக்கல்களில் ஒன்றாகத் திகழும் குழந்தைப்பேறு என்கிற புள்ளியை முன்வைத்து, 'ஆட்டிசம்' பின்புலமுள்ள ஒரு கதைக்களத்தை இந்த நூற்றாண்டின் சூழலில் பேசுகிறது இந்நாவல். தற்சிந்தனை நோய் அல்லது மதி இறுக்கத்தின் பாதிப்பை ஒரு குடும்பத்திலுள்ள ஒவ்வொருவரது பார்வையிலும் பதிவதுடன், அது சார்ந்த பிரச்சனைகள் அநேகமானவற்றை ஊடுருவிச் செல்கிறது இந்நாவல். ஒரு எளிய எதார்த்த அடிக்கட்டமைப்புடன் தொன்மங்கள், குழந்தைகள் தனியுலகம், என பல்குரல்தன்மை கொண்டதாக உள்ள இந்த நாவல். நீலகண்டம் நம் ஒவ்வொருவரிலும் வெளிப்படத் தயாராக இருக்கும் விஷத்தைப் பற்றி பேசுவதால் அது தொந்தரவுக்கு உள்ளாக்குகிறது."
BK000019,நா.முத்துக்குமார் கவிதைகள்,நா.முத்துக்குமார்,9789389857429,கவிதைகள்,Tamil,டிஸ்கவரி புக் பேலஸ்,2021,,Available,,,,,"இத்தொக்குப்பினும் இடம்பெறும் கவிதைகள்....\n\nபட்டாம்பூச்சி விற்பவன்.\nநியுட்டனின் மூன்றாம் விதி.\nகுழந்தைகள் நிறைந்த வீடு.\nஅனா ஆவன்னா.\nஎன்னை சந்திக்க கனவில் வராதே."
BK000020,இளையராஜா: இசையின் தத்துவமும் அழகியலும்,பிரேம் ரமேஷ்,9789384301712,கட்டுரை,Tamil,டிஸ்கவரி புக் பேலஸ்,2016,,Available,,,,,"வித்வான்களிடம் குடி கொண்டிருக்கும் கர்னாடக இசை வர்ணமெட்டுகளைப் போல மக்களிடம் நாட்டுப்புற இசைவர்ண மெட்டுகள் ஏராளமாக உண்டு. அவைகளைத் தேடித் தேடி கவனம்செய்து மனசில் வாங்கி பதிவுசெய்துகொண்ட ஞானியரில் மகாஞானி நம்முடைய இளையராஜா அவர்கள். நமது மண்ணிலிருந்து முளைத்தவர் அவர் - எழுத்தாளர் கி.ராஜநாராயணன் ஒரு சினிமா இசையமைப்பாளராகவும் அதற்கு மேலும் ஏதோ ஒருத்தர் இளையராஜா என நான் நினைத்திருந்த எண்ணத்தை பிரேம்-ரமேஷின் கட்டுரை உடைத்தெறிந்தது. இந்தப் புத்தகத்தில் ஏதாவது சிறப்பு இருக்கிறதென்றால் அது பிரேம்&ரமேஷ் இருவரும் உருவாக்கியதனால் வந்ததுதான். எந்த ஒரு திரைப்படத்தின் பெயரையோ, ஒரு பாடலையோ குறிப்பிடாமல் இந்தப் புத்தகம் சிறப்புப் பெறுவதாக நினைக்கிறேன். இளையராஜா என்கிற ஒரு ஆள் இல்லாமல் போயிருந்தால் என்ன நடந்திருக்கும். இந்தக் கேள்வியை பார்க்கிற நண்பர்களிடமெல்லாம் கேட்டுவிட்டேன். பதிலே இல்லை. - இயக்குநர் தங்கர்பச்சான்"
BK000021,தமிழ் சினிமா: புனைவில் இயங்கும் சமூகம்,ஸ்டாலின் ராஜாங்கம்,9788193076439,கட்டுரை,Tamil,பிரக்ஞை,2016,,Available,,,,,"சினிமா எனும் காட்சி ஊடகம் சமுதாயத்தில் ஏற்படுத்தும் தாக்கம் பெரிது.இந்நூலில் திரைப்படத்தின் நோக்கம், உள்ளடக்கம், அது வெளிப்படுத்தும் கருத்து, பார்வையாளரிடம் ஏற்படுத்தும் உணர்வு, அதன் குறியீட்டுத்தன்மை ஆகியவற்றை ஆய்வு செய்து விமர்சனமும் செய்யப்பட்டிருக்கிறது. சினிமாவை சினிமாக்காரர்களின் நோக்கிலிருந்து பார்க்காமல் அடித்தள மக்களின் பார்வையிலிருந்து பார்க்கிறது இந்நூல்."
BK000022,சோளகர் தொட்டி,ச.பாலமுருகன்,9789387333659,நாவல்,Tamil,எதிர் வெளியீடு,2019,,Available,,,,,"ச.பாலமுருகன் தன்னை மனித உரிமைச் செயல்பாடுகளுடன் இணைத்துக் கொண்டவர். பி.யூ.சி.எல். அமைப்பில் செயல்படுபவர். வழக்குரைஞர். கடந்த பத்து ஆண்டுகளாய் பழங்குடிமக்களின் மீதான மனித உரிமை மீறல்களுக்கு எதிரான செயல்பாடுகளை இயக்கமாக்கியவர்களுள் முக்கியமானவர். பழங்குடி மக்களின் பண்பாடு, வாழ்க்கை, தொன்மங்கள் மற்றும் வனம் போன்றவற்றுடன் தனக்குள்ள பினணப்பை இந்நாவலில் வெளிப்படுத்தியுள்ளார்."
